model_s,tail_num,mfg,model,updated,comment 
ad8c4c,N972NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
aa231c,N752SW,BOEING,B737,1464739201,B737
acb468,N918AE,EMBRAER,EMB-145LR,1464739200,
abd59a,N8615E,BOEING,737-8H4,1464739200,
a613e0,N491AS,BOEING 737-990,B739,1466992601,ALASKA AIRLINES
a9b43f,N724UW,AIRBUS INDUSTRIE,A319-112,1464739200,
a9e93b,N738EV,BOMBARDIER INC,CL-600-2C10,1464739200,
a9360e,N693CA,BOMBARDIER INC,CL-600-2D24,1464739200,
aa7a3c,N7740A,BOEING,737-7BD,1464739200,
ac8b2e,N907WN,BOEING,B737,1464739201,B737
a1a2e0,N204WN,BOEING,B737,1464739201,B737-7H4/W
a883bd,N648JB,,A320,1464739201,A320-232
a373da,N321US,,A320,1464739201,A320-211
a9a404,N720EV,BOMBARDIER INC,CL-600-2C10,1464739200,
a35e49,N316NB,,A319,1464739201,A319-114
aaf485,N805AW,AIRBUS INDUSTRIE,A319-132,1464739200,
a1c57e,N213JQ,,E170,1464739201,E170
a29391,N265WN,BOEING,737-7H4,1464739200,
a9ccde,N730US,,A319,1464739201,A319-112
a05dba,N12216,,B738,1464739201,B737-824
a331f6,N305AS,,B739,1464739201,B737-990
ad5817,N959WN,BOEING,B737,1464739201,B737
a1a218,N204NN,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a0f91d,N162AA,AIRBUS,A321-231,1464739200,
a75103,N57016,BOEING,777-224,1464739200,
a8a309,N656AE,,E145,1464739201,ERJ-145LR
a203a9,N229NN,EMBRAER S A,ERJ 170-200 LR,1464739200,
a01bbc,N106HQ,,E170,1464739201,ERJ-170-200LR
aaee3b,N803NN,,B738,1464739201,B737-823
a59ef7,N461SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a5958c,N459WN,BOEING,B737,1464739201,B737
a996e1,N717JL,BOEING,717-200,1464739200,
a46a72,N384DA,,B738,1464739201,B737-832
abdb88,N863RW,,E170,1464739201,ERJ 170-100SE
abeca0,N868AS,BOMBARDIER INC,CL-600-2B19,1464739200,
a58fe9,N458AW,,CRJ2,1464739201,CRJ2
a214b3,N233LV,BOEING,B737,1464739201,B737-7H4/W
aca5ff,N914EV,BOMBARDIER INC,CL-600-2B19,1464739200,
aa2abc,N754UW,AIRBUS INDUSTRIE,A319-112,1464739200,
aa7b78,N7749B,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
a2c9ec,N279WN,BOEING,B737,1464739201,B737-7H4/W
a75359,N571NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a75b65,N573UW,AIRBUS A321-231,A321,1466992601,US AIRWAYS
a08446,N132SY,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a7ea48,N609SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a9a97f,N721YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
a7d0c3,N602XJ,BOMBARDIER INC,CL-600-2B19,1464739200,
a196f3,N201NN,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a1ce16,N215WN,BOEING,B737,1464739201,B737-7H4/W
a7506a,N570WN,BOEING,737-7CT,1464739200,
a5287a,N431SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a2b05b,N27200,EMBRAER,EMB-145XR,1464739200,
abacd2,N851UA,,A319,1464739201,A319-131
a7e2da,N607SK,,CRJ7,1464739201,CRJ7
ace965,N931AE,EMBRAER,EMB-145LR,1464739200,
aca60d,N914FJ,BOMBARDIER INC,CL-600-2D24,1464739200,
ab3c58,N823DN,BOEING,737-932ER,1464739200,
a93d7c,N695CA,,CRJ9,1464739201,CRJ9
aa37ce,N758AN,BOEING,777-223,1464739200,
a19b72,N202WN,BOEING,737-7H4,1464739200,
a2b0cd,N27239,,B738,1464739201,B737-824
abd1e3,N8605E,BOEING,737-8H4,1464739200,
a2c635,N278WN,BOEING,737-7H4,1464739200,
a85054,N635AE,EMBRAER,EMB-145LR,1464739200,
a41e29,N36444,,B739,1464739201,B739
ab5f87,N8318F,,B738,1464739201,B738
a06f8a,N127UW,AIRBUS,A320-214,1464739200,
aa9a7a,N7821L,BOEING,737-7CT,1466168187,
ab8b56,N843DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a6c07f,N534NK,AIRBUS,A319-132,1464739200,
a715c6,N556AS,BOEING,737-890,1464739200,
a68e7c,N521UW,AIRBUS,A321-231,1464739200,
ac8efa,N908XJ,BOMBARDIER INC,CL-600-2D24,1464739200,
adcca0,N989AN,,B738,1464739201,B737-823
a6451a,N503AE,,CRJ7,1464739201,CRJ7
ad0562,N938WN,BOEING,B737,1464739201,B737
a0a80e,N141SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a7a9aa,N593ML,BOMBARDIER INC,CL-600-2B19,1464739200,
a4b989,N403UA,,A320,1464739201,A320-232
a7e5c1,N608JB,,A320,1464739201,A320-232
a6c120,N534UW,,A321,1464739201,A321-231
a73ab6,N565NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a4bd7e,N404WN,BOEING,737-7H4,1464739200,
ac857b,N906AE,EMBRAER,EMB-145LR,1464739200,
ab9f6d,N848VA,AIRBUS,A320-214,1464739200,
aa9d45,N783SK,,CRJ7,1464739201,CRJ7
a91986,N686AE,EMBRAER,EMB-145LR,1464739200,
a27380,N257WN,BOEING,737-7H4,1464739200,
a44371,N374JB,EMBRAER,ERJ 190-100 IGW,1466168186,
abe056,N8642E,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a9d9f7,N734AR,BOEING,777-323ER,1466168187,
ad046b,N938LR,,CRJ9,1464739201,CRJ9
abe1c2,N865DN,BOEING,737-932ER,1464739200,
abe3e6,N8651A,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a76df8,N578UW,AIRBUS INDUSTRIE,A321-231,1464739200,
ac52f2,N89308,EMBRAER S A,ERJ 170-200 LR,1466168187,
abf32b,N8694A,BOMBARDIER INC,CL-600-2B19,1464739200,
a30a0e,N295WN,BOEING,737-7H4,1464739200,
a284b5,N261WN,BOEING,B737,1464739201,B737-7H4/W
a6b7ec,N532AS,,B738,1464739201,B738
aa96be,N7811F,BOEING,737-76N,1466168187,
ac7a33,N9029F,AIRBUS,A319-115,1464739200,
a495b4,N395DN,,B738,1464739201,B737-832
a3bd81,N340CA,BOMBARDIER INC,CL-600-2C10,1464739200,
ac0dd9,N876NN,BOEING,737-823,1464739200,
a0ad3e,N14250,,B738,1464739201,B737-824/W
a51d23,N429AW,,CRJ2,1464739201,CRJ2
a224fa,N23708,BOEING,737-724,1464739200,
abad6c,N8510E,BOEING,737-8H4,1464739200,
ad7bdf,N968WN,BOEING,737-7H4,1464739200,
a5b954,N468WN,BOEING,B737,1464739201,B737
a875a3,N644RW,EMBRAER,ERJ 170-100 SE,1464739200,
a76f66,N57862,BOEING,757-33N,1464739200,
a5ae2f,N465WN,BOEING,737-7H4,1464739200,
a84646,N632RW,,E170,1464739201,ERJ-170-100SE
a51b58,N428WN,BOEING,B737,1464739201,B737
a720eb,N559AS,BOEING,737-890,1464739200,
a0339a,N11194,,E145,1464739201,Emb.145XR
aa51fe,N764SK,,CRJ7,1464739201,CRJ7
ad2517,N946SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
ac53a4,N8936A,,CRJ2,1464739201,CRJ2
a9ccb0,N730SW,BOEING,B737,1464739201,B737
a8bf73,N663AW,AIRBUS INDUSTRIE,A320-232,1464739200,
a02443,N108UW,AIRBUS INDUSTRIE,A320-214,1464739200,
a771af,N579UW,AIRBUS INDUSTRIE,A321-231,1464739200,
a1ff83,N228JB,,E190,1464739201,ERJ-190-100IGW
accb50,N923WN,BOEING,B737,1464739201,B737
ac4816,N8903A,BOMBARDIER INC,CL-600-2B19,1464739200,
a09e47,N139SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
aa998e,N782SK,,CRJ7,1464739201,CRJ7
ab3dc3,N823UA,,A319,1464739201,A319-131
ad1986,N943NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
a8063e,N616NK,AIRBUS,A320-232,1464739200,
ab52a2,N829DN,BOEING,737-932ER,1464739200,
a423c4,N366NB,AIRBUS,A319-114,1464739200,
a9d5e5,N73276,,B738,1464739201,B737-824/W
a0cdf3,N151AN,AIRBUS,A321-231,1464739200,
abfe12,N872DC,,CRJ7,1464739201,CRJ7
a7e151,N607AS,BOEING,737-790,1464739200,
ab037f,N809CA,,CRJ2,1464739201,CRJ2
acaec8,N916US,AIRBUS,A321-231,1464739200,
a1d105,N216NN,EMBRAER S A,ERJ 170-200 LR,1464739200,
a3fffc,N357NB,AIRBUS,A319-114,1464739200,
ac82f8,N905NN,BOEING,737-823,1464739200,
a0f6b9,N161PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a7a89d,N593AS,,B738,1464739201,B737-890(WL)
ab0416,N809JB,AIRBUS,A320-232,1466168187,
a8e279,N6715C,BOEING,757-232,1464739200,
abbb24,N855NN,,B738,1464739201,B738
a8fc2e,N67827,BOEING,737-924ER,1466168187,
a9125f,N684DA,BOEING,757-232,1464739200,
accb65,N923XJ,,CRJ9,1464739201,CRJ9
ad7760,N967NN,BOEING,737-823,1464739200,
a46d26,N38443,BOEING,737-924ER,1464739200,
a69f49,N526AS,,B738,1464739201,B737-890/W
acca88,N923NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
acc267,N921FJ,,CRJ9,1464739201,CRJ9
a8eea1,N675DL,,B752,1464739201,B757-232
ab5b2b,N8303R,,B738,1464739201,B738
ad1fcd,N945AT,BOEING,717-200,1464739200,
a1a8da,N206FR,,A320,1464739201,A320-214
a13c43,N179SY,EMBRAER ERJ-175LR,E170,1466992601,ALASKA AIRLINES
aa432d,N760SW,BOEING,737-7H4,1464739200,
a19647,N201FR,AIRBUS,A320-214,1464739200,
abd41a,N861RW,EMBRAER,ERJ 170-100 SE,1464739200,
a55bb5,N444YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a4f5a0,N419AS,BOEING,737-990ER,1466168186,
a44591,N3744F,BOEING,737-832,1464739200,
a44533,N3741S,,B738,1464739201,B737-832
abef54,N8683D,BOEING,737-8H4,1466168187,
a4491f,N3753,BOEING,737-832,1464739200,
aa56db,N76529,,B738,1464739201,B738
a158c9,N186US,,A321,1464739201,A321-211
a55b7a,N444WN,BOEING,737-7H4,1464739200,
a8f207,N676AE,EMBRAER,EMB-145LR,1464739200,
a5255a,N430YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a36105,N317CA,BOMBARDIER INC,CL-600-2C10,1464739200,
a781d7,N583JB,AIRBUS,A320-232,1464739200,
a288ff,N26210,,B738,1464739201,B737-824
abe147,N8649A,BOEING,737-8H4,1464739200,
ad40d6,N953LR,BOMBARDIER INC,CL-600-2D24,1466168188,
a1f1de,N224WN,BOEING,737-7H4,1464739200,
a789bc,N585NW,BOEING,757-351,1464739200,
abfb46,N871NN,BOEING,737-823,1464739200,
a8df74,N671AE,EMBRAER,EMB-145LR,1464739200,
a0835d,N132HQ,,E170,1464739201,ERJ-170-200LR
abd559,N8613K,BOEING,737-8H4,1466168187,
a0e5d7,N157SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a2ded8,N284WN,BOEING,737-7H4,1464739200,
a1fb8f,N227FR,AIRBUS,A320-214,1464739200,
ace1af,N929XJ,BOMBARDIER INC,CL-600-2D24,1464739200,
a30d18,N296PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
abef98,N8685B,BOEING,737-8H4,1464739200,
a178de,N194UW,,A321,1464739201,A321-211
aa7315,N7722B,BOEING,737-76N,1464739200,
a7f9f4,N613AS,BOEING,B737,1464739201,B737-790/W
a59b40,N460SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a14b1a,N18243,BOEING,737-824,1464739200,
ac2fff,N8847A,BOMBARDIER INC,CL-600-2B19,1464739200,
ad1c11,N944AN,BOEING,737-823,1464739200,
accf07,N924WN,BOEING,B737,1464739201,B737
a08317,N132EV,,CRJ9,1464739201,CRJ9
abe030,N8641B,BOEING,737-8H4,1464739200,
a33339,N305PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a4c865,N407UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a7cfe3,N602NK,AIRBUS,A320-232,1464739200,
ac60ef,N897SK,BOMBARDIER INC,CL-600-2D24,1466168187,
a99b1b,N718PS,BOMBARDIER INC,CL-600-2C10,1464739200,
a958d2,N701FR,AIRBUS,A321-211,1464739200,
aa75bd,N773SA,BOEING,B737,1464739201,B737
ace81d,N93003,AIRBUS A319-115,A319,1466992601,AMERICAN AIRLINES
a9e8f7,N738CB,BOEING,737-7H4,1464739200,
abe79d,N8661A,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
aa73c3,N7727A,BOEING,737-76N,1464739200,
a318ea,N299WN,BOEING,B737,1464739201,B737-7H4/W
a99d89,N719AN,BOEING,777-323ER,1464739200,
acd68a,N926XJ,,CRJ9,1464739201,CRJ9
a3d122,N345NW,AIRBUS INDUSTRIE,A320-212,1464739200,
a32368,N301DV,RANS,S-14,1464739200,
a9c151,N728AN,BOEING,777-323ER,1464739200,
ad21bc,N945WN,BOEING,B737,1464739201,B737-7H4/W
a46603,N38268,,B738,1464739201,B737-824/W
a09322,N136SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a97029,N707SK,BOMBARDIER INC,CL-600-2C10,1464739200,
ab7270,N837AW,AIRBUS,A319-132,1464739200,
acb124,N917EV,BOMBARDIER INC,CL-600-2B19,1464739200,
aa2e2d,N755SA,BOEING,737-7H4,1464739200,
aa7ba7,N775AN,BOEING,777-223,1464739200,
a5c2dd,N470UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a8ad4e,N65832,BOEING,737-924ER,1464739200,
a1c935,N214JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a90aaa,N682AE,EMBRAER,EMB-145LR,1464739200,
a4a0b4,N398CA,BOMBARDIER INC,CL-600-2C10,1464739200,
a4da13,N411YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a86a7e,N641RW,,E170,1464739201,Emb.170-100SE
a93d4e,N695AE,EMBRAER,EMB-145LR,1464739200,
ac85fc,N906FJ,BOMBARDIER INC,CL-600-2D24,1464739200,
add66c,N991AT,,B712,1464739201,B712
a22539,N23721,BOEING,B737,1464739201,B737-724
a59b9c,N460WN,BOEING,737-7H4,1464739200,
acc3f7,N921XJ,,CRJ9,1464739201,CRJ9
aba281,N849NN,,B738,1464739201,B738
abdf3f,N864RW,,E170,1464739201,ERJ-170-100SE
abb7f7,N854UA,,A319,1464739201,A319-131
a365b7,N318NB,AIRBUS INDUSTRIE,A319-114,1464739200,
a05559,N120SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a4f414,N418YX,EMBRAER,ERJ 170-200 LR,1466168186,
a67c3a,N517JB,,A320,1464739201,A320-232
a68caa,N521AE,,CRJ7,1464739201,CRJ7
ab9eca,N848NN,,B738,1464739201,B738
ad5dcb,N960SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
aa9a93,N7822A,BOEING,737-76N,1466168187,
a52c00,N432QX,BOMBARDIER INC,DHC-8-402,1464739200,
a336f0,N306PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
aa56da,N76528,BOEING,737-824,1464739200,
a50c7c,N424WN,BOEING,737-7H4,1464739200,
a4e550,N414ZW,BOMBARDIER INC,CL-600-2B19,1464739200,
a9fb92,N742SK,,CRJ7,1464739201,CL-600 2C10 CRJ-701
acd964,N927NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
a6f3c0,N547US,,B752,1464739201,B757-251
ad84de,N970NN,BOEING,737-823,1466168188,
aa1368,N74856,,B753,1464739201,B757-324
a05ab3,N12167,EMBRAER,EMB-145XR,1464739200,
ab39e3,N822SK,,CRJ9,1464739201,CRJ9
a77721,N580NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a6034a,N487HA,,B712,1464739201,B717-22A
a1073f,N16541,EMBRAER,EMB-145LR,1464739200,
a2cffc,N280WN,BOEING,B737,1464739201,B737
ad3e16,N952WN,BOEING,B737,1464739201,B737
a5c899,N472AS,BOEING,737-990ER,1464739200,
a47809,N38727,BOEING,737-724,1464739200,
a855e2,N636VA,AIRBUS,A320-214,1464739200,
a442da,N374CA,,CRJ7,1464739201,CRJ7
abd17b,N8602F,BOEING,737-8H4,1464739200,
aaf253,N804SK,BOMBARDIER INC,CL-600-2D24,1464739200,
ab58b2,N830DN,BOEING,737-932ER,1464739200,
a708b0,N552UW,AIRBUS,A321-231,1464739200,
a85e2b,N63820,BOEING,737-924ER,1466168187,
a445f8,N3747D,BOEING,737-832,1464739200,
a83988,N629VA,,A320,1464739201,A320-214
aa76cb,N7732A,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
a1d93b,N218WN,BOEING,B737,1464739201,B737-7H4/W
a114f4,N169UW,AIRBUS INDUSTRIE,A321-211,1464739200,
ac6f31,N900AE,EMBRAER,EMB-145LR,1464739200,
a37335,N321NB,AIRBUS INDUSTRIE,A319-114,1464739200,
abae8f,N8518R,BOEING,737-8H4,1464739200,
a09a90,N138SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
aabbc9,N791AN,,B772,1464739201,B777-223 (ER)
acb82c,N919AT,,B712,1464739201,B717-231
a038ff,N113SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a8a7f1,N657NK,AIRBUS,A321-231,1464739200,
a05f95,N123HQ,EMBRAER,ERJ 170-200 LR,1464739200,
a81032,N619AE,,E145,1464739201,ERJ-145LR
a62fd1,N498WN,BOEING,737-7H4,1464739200,
a7167f,N556JB,AIRBUS,A320-232,1464739200,
a8452f,N632AE,EMBRAER,EMB-145LR,1464739200,
a27a43,N259PS,BOMBARDIER INC,CL-600-2B19,1464739200,
ad159b,N942LL,,E145,1464739201,ERJ-145LR
abdcdc,N86336,EMBRAER S A,ERJ 170-200 LR,1464739200,
a39fb1,N33203,,B738,1464739201,B737-824
a89f80,N655CA,,CRJ7,1464739201,CRJ7
a668e2,N512AE,BOMBARDIER INC,CL-600-2C10,1464739200,
a0a9d6,N14179,,E145,1464739201,EMB-145XR
aa21ef,N752EV,,CRJ7,1464739201,CRJ7
834294,N309US,,A320,1464739201,A320
a97dcb,N710TW,BOEING,757-2Q8,1464739200,
ab63d7,N833DN,BOEING,737-932ER,1464739200,
a81b2a,N621NK,AIRBUS,A320-232,1464739200,
a7cb0b,N601AW,,A320,1464739201,A320-232
a83787,N62889,BOEING,737-924ER,1464739200,
a96b65,N706FR,AIRBUS,A321-211,1466168187,
ab663f,N83329,EMBRAER S A,ERJ 170-200 LR,1464739200,
a8352b,N628NK,AIRBUS A320-232,A320,1466992601,SPIRIT AIRLINES
a9250d,N689EC,EMBRAER,EMB-145LR,1464739200,
a1ba59,N210JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a7130c,N555LV,BOEING,B737,1464739201,B737
acca19,N923JB,AIRBUS A321-231,A321,1466992601,JETBLUE AIRWAYS
a84a17,N633NK,AIRBUS,A320-232,1466168187,
a7a25f,N591NW,,B753,1464739201,B757-351
ada64d,N979NN,BOEING,737-823,1464739200,
a0b6ea,N145SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a5c31b,N470WN,BOEING,B737,1464739201,B737
ac712d,N900WN,BOEING,737-7H4,1464739200,
abfb99,N871RW,EMBRAER,ERJ 170-100SU,1464739200,
aa4903,N762AN,BOEING,777-223,1464739200,
a418b2,N363NW,,A320,1464739201,A320-212
ac0418,N87319,EMBRAER S A,ERJ 170-200 LR,1464739200,
a3a9b6,N335PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a0acf9,N14231,,B738,1464739201,B737-824/W
ab23b5,N817DN,BOEING,737-932ER,1464739200,
ac0b7f,N87512,BOEING,737-824,1464739200,
a537b2,N435WN,BOEING,737-7H4,1464739200,
ac789b,N902WN,BOEING,B737,1464739201,B737
a04aa9,N118HQ,EMBRAER,ERJ 170-200 LR,1464739200,
a075df,N129HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a5a683,N463UA,AIRBUS INDUSTRIE,A320-232,1464739200,
ab0ed6,N811UA,,A319,1464739201,A319-131
a4cc5a,N408WN,BOEING,B737,1464739201,B737-7H4
a8f9a3,N678CA,,CRJ9,1464739201,CRJ9
ad4cf2,N956WN,BOEING,737-7H4,1464739200,
a5ca89,N472WN,BOEING,737-7H4,1464739200,
abea64,N867RW,EMBRAER,ERJ 170-100SU,1464739200,
acd675,N926WN,BOEING,737-7H4,1464739200,
ab2372,N817AW,AIRBUS INDUSTRIE,A319-132,1464739200,
ad5623,N959AN,,B738,1464739201,B737-823
abdd09,N8635F,BOEING,737-8H4,1464739200,
a8ee50,N675AE,EMBRAER,EMB-145LR,1464739200,
a325fd,N3014R,AIRBUS,A319-115,1464739200,
a06010,N123NN,,PA34,1464739201,PA-34-220T Seneca
abf025,N8689C,BOEING,737-8H4,1466168187,
ab8fd0,N844MH,BOEING,767-432ER,1464739200,
a8ce4f,N667AW,,A320,1464739201,A320-232
a5add3,N465SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a765ec,N576NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a939e8,N694DL,,B752,1464739201,B757-232
a57b4d,N452UA,AIRBUS INDUSTRIE,A320-232,1464739200,
aced8f,N932EV,BOMBARDIER INC,CL-600-2B19,1464739200,
a6147f,N491HA,BOEING,717-200,1464739200,
a07bef,N130HQ,EMBRAER,ERJ 170-200 LR,1464739200,
ad1927,N943JT,AIRBUS,A321-231,1464739200,
a7f3ab,N611NK,,A320,1464739201,A320
abe496,N8656B,BOEING,737-8H4,1464739200,
aa3ae5,N75854,BOEING,757-324,1464739200,
ad2f71,N949JT,AIRBUS,A321-231,1466168188,
ab1c04,N815AW,,A319,1464739201,A319-132
aaa58b,N78501,BOEING,737-824,1464739200,
abadf9,N8514F,BOEING,737-8H4,1466168187,
a1be10,N211JQ,,E170,1464739201,E170
ad12e0,N941WN,BOEING,B737,1464739201,B737
a742c2,N567UW,AIRBUS,A321-231,1464739200,
a2396e,N242WN,BOEING,B737,1464739201,B737-7H4/W
a92361,N68801,BOEING,737-924ER,1464739200,
a599b0,N460AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a30c8e,N296JB,,E190,1464739201,E190
a736ff,N564NN,BOMBARDIER INC,CL-600-2D24,1464739200,
ad928e,N974AN,BOEING,737-823,1464739200,
a997cc,N717TW,,B752,1464739201,B757-231
a6a425,N527NK,AIRBUS,A319-132,1464739200,
a9b7c4,N725SW,BOEING,B737,1464739201,B737
ad2160,N945SW,BOMBARDIER INC,CL-600-2B19,1464739200,
ac468d,N890NN,BOEING,737-823,1464739200,
a0dae2,N154UW,AIRBUS,A321-211,1466168185,
a0433b,N116HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a452c4,N378NW,AIRBUS,A320-211,1464739200,
a44d62,N3767,,B738,1464739201,B737-832
a7687b,N577AS,BOEING,737-890,1464739200,
a87f51,N647AW,AIRBUS INDUSTRIE,A320-232,1464739200,
a023a5,N108NN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
ac7c52,N903WN,BOEING,B737,1464739201,B737
a200ba,N228WN,BOEING,737-7H4,1464739200,
ac79c7,N9026C,AIRBUS,A319-115,1464739200,
a2479f,N246PS,,CRJ2,1464739201,CRJ2
a8dfc7,N671DN,,B752,1464739201,B757-232
a2c35b,N27734,BOEING,B737,1464739201,B737-724
ad3870,N951AT,BOEING,717-200,1464739200,
a53436,N434YX,EMBRAER S A,ERJ 170-200 LR,1466168186,
ab2729,N818AW,,A319,1464739201,A319-132
a5a30a,N462WN,BOEING,737-7H4,1464739200,
a1239c,N17244,BOEING,737-824,1464739200,
ac3430,N886AS,BOMBARDIER INC,CL-600-2B19,1464739200,
a060ae,N123UW,AIRBUS INDUSTRIE,A320-214,1464739200,
a00df9,N102UW,AIRBUS INDUSTRIE,A320-214,1464739200,
ab93a5,N845NN,,B738,1464739201,B738
abef16,N8681M,BOEING,737-8H4,1466168187,
abf6a4,N870DC,,CRJ7,1464739201,CRJ7
a5dee3,N478AS,BOEING 737-990,B739,1466992601,ALASKA AIRLINES
a78605,N584NW,,B753,1464739201,B757-351
a4e538,N414YX,EMBRAER,ERJ 170-200 LR,1464739200,
a81005,N61886,BOEING 737-924,B739,1466992601,UNITED AIRLINES
a2cb13,N27958,BOEING,787-9,1464739200,
acc799,N922WN,BOEING,737-7H4,1464739200,
a6f2b7,N547JB,AIRBUS,A320-232,1464739200,
ab3e98,N82314,EMBRAER S A,ERJ 170-200 LR,1464739200,
a4bf49,N405AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a8c32a,N664AW,,A320,1464739201,A320-232
a885f4,N64844,BOEING,737-924ER,1466168187,
a41144,N361NW,,A320,1464739201,A320-212
a61987,N492WN,BOEING,737-7H4,1464739200,
a5468e,N439WN,BOEING,B737,1464739201,B737-7H4
ad694c,N963WN,BOEING,B737,1464739201,B737
aaf60a,N805SK,,CRJ9,1464739201,CRJ9
a728c1,N560UW,AIRBUS A321-231,A321,1466992601,US AIRWAYS
ab5d2c,N831MH,BOEING,767-432ER,1464739200,
a202fd,N229FR,AIRBUS,A320-214,1464739200,
a7e5fd,N608LM,EMBRAER,EMB-145,1464739200,
a3619c,N317JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a32ef8,N304JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a7a9c5,N593NN,CANADAIR CRJ-900LR,CRJ9,1466992601,AMERICAN EAGLE
aa6fca,N7715E,BOEING,737-7BD,1464739200,
a40d7a,N360NB,AIRBUS,A319-114,1464739200,
ac7bf6,N903SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a584c4,N455AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a562e8,N446WN,BOEING,B737,1464739201,B737
a51b93,N428YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
a05940,N121UW,AIRBUS INDUSTRIE,A320-214,1464739200,
a47d69,N389HA,AIRBUS,A330-243,1464739200,
ace19a,N929WN,BOEING,B737,1464739201,B737
ab84c9,N841NN,,B738,1464739201,B738
a09188,N136AN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
acbeb0,N920FJ,BOMBARDIER INC,CL-600-2D24,1464739200,
a9c737,N729YX,EMBRAER S A,ERJ 170-200 LR,1466168187,
a1e23a,N220NN,EMBRAER,ERJ 170-200 LR,1466168185,
aaafd8,N788SK,,CRJ7,1464739201,CRJ7
aa9e04,N7830A,BOEING,737-7L9,1464739200,
a73f35,N566WN,BOEING,737-7CT,1464739200,
a511fe,N426AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a06a09,N126AN,AIRBUS,A321-231,1464739200,
a03262,N11107,EMBRAER,EMB-145XR,1464739200,
a97626,N709BR,,CRJ2,1464739201,CL-600 2B19 CRJ-200ER
aaa02c,N784JB,,A320,1464739201,A320
a02dda,N110SY,EMBRAER S A,ERJ 170-200 LR,1466168185,
a44588,N37437,BOEING,737-924ER,1464739200,
a7a60e,N592NN,BOMBARDIER INC,CL-600-2D24,1466168186,
a3a084,N33264,BOEING,737-824,1464739200,
aba7b0,N850DN,BOEING,737-932ER,1464739200,
ac7658,N9018E,AIRBUS,A319-115,1464739200,
a79e31,N590JB,AIRBUS,A320-232,1464739200,
a3534a,N313PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
