model_s,tail_num,mfg,model,updated,comment
a82dbd,N626NK,AIRBUS,A320-232,1464739200,
ab83e8,N841DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a5d814,N476HA,,B712,1464739201,B712
a3117c,N297WN,BOEING,B737,1464739201,B737-7H4/W
a49f89,N39728,BOEING,B737,1464739201,B737-724/W
aa0701,N745VJ,AIRBUS INDUSTRIE,A319-112,1464739200,
aba9e7,N8501V,BOEING,737-8H4,1464739200,
aaf4c8,N805DN,BOEING,737-932ER,1464739200,
a33e5e,N308PQ,BOMBARDIER INC,CL-600-2D24,1466168185,
abd19e,N8603F,BOEING,737-8H4,1464739200,
a4fd62,N420UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a7ceb2,N602AE,EMBRAER,EMB-145LR,1464739200,
aaf002,N80343,,Manu,1464739201,Manu
a1d096,N216JB,,E190,1464739201,ERJ-190-100IGW
ab7627,N838AW,AIRBUS,A319-132,1464739200,
ad77cc,N967SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
ac7b8a,N903NN,,B738,1464739201,B738
abe4db,N8658A,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a9ddb0,N735AT,BOEING,777-323ER,1466168187,
a968df,N705TW,,B752,1464739201,B757-231
aa739d,N77258,,B738,1464739201,B737-824
ac31a1,N885NN,BOEING,737-823,1464739200,
a9cd47,N730YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
a1933c,N200NN,EMBRAER S A,ERJ 170-200 LR,1464739200,
ab9f54,N848UA,,A319,1464739201,A319-131
adc8e7,N988AL,,GLF4,1464739201,G-IV (G450)
ad071d,N939AE,,E145,1464739201,ERJ-145LR
a944b9,N697AB,,E145,1464739201,E145
a64163,N502AE,,CRJ7,1464739201,CL-600-2C10 CRJ701ER
a44291,N3739P,BOEING,737-832,1464739200,
ad20f4,N945NN,BOEING,737-823,1464739200,
a6652b,N511AE,BOMBARDIER INC,CL-600-2C10,1464739200,
a5b55f,N467UA,AIRBUS INDUSTRIE,A320-232,1464739200,
aaa2d3,N7848A,BOEING,737-752,1466168187,
a923a7,N68821,BOEING 737-924,B739,1466992601,UNITED AIRLINES
a8bbbc,N662AW,AIRBUS INDUSTRIE,A320-232,1464739200,
a0b333,N144SY,EMBRAER S A,ERJ 170-200 LR,1466168185,
a01567,N104UW,,A320,1464739201,A320-214
aa7a83,N7742B,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
ac575b,N8946A,,CRJ2,1464739201,CRJ2
a28ee7,N264LV,BOEING,737-7H4,1464739200,
a24c01,N247WN,BOEING,737-7H4,1464739200,
a5d5ae,N475WN,BOEING,737-7H4,1464739200,
a134d5,N177SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
ad2862,N947NN,BOEING,737-823,1464739200,
acf5be,N934NN,BOEING,737-823,1464739200,
a4ca6e,N408AW,,CRJ2,1464739201,CRJ2
acb953,N919NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
a2e646,N286WN,BOEING,B737,1464739201,B737-7H4/W
a923cd,N68834,BOEING,737-924ER,1464739200,
ac92b1,N909XJ,,CRJ9,1464739201,CRJ9
a82a06,N625NK,AIRBUS,A320-232,1466168186,
ab9387,N845MH,BOEING,767-432ER,1464739200,
abd90c,N8623F,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
abe7e3,N8663A,BOEING,737-8H4,1464739200,
a745db,N568NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a3dffe,N349NW,AIRBUS INDUSTRIE,A320-212,1464739200,
a24fb8,N248WN,BOEING,737-7H4,1464739200,
a8050d,N616AE,EMBRAER,EMB-145LR,1464739200,
ac51b2,N893NN,BOEING,737-823,1464739200,
a86061,N639NK,AIRBUS,A320-232,1464739200,
abdd91,N8639B,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a95665,N700UW,,A319,1464739201,A319-112
acbffd,N920US,AIRBUS,A321-231,1466168188,
a0a9d4,N14177,,E145,1464739201,Emb.145XR
a23877,N242LR,BOMBARDIER INC,CL-600-2D24,1466168185,
aa9f3f,N7839A,BOEING,737-73V,1464739200,
acc59d,N922AE,EMBRAER,EMB-145LR,1464739200,
a30961,N295PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
ab3ee2,N82338,EMBRAER S A,ERJ 170-200 LR,1464739200,
a513ea,N426WN,BOEING,B737,1464739201,B737
a7cd0c,N601XJ,,CRJ2,1464739201,CRJ2
aa9e6d,N7833A,BOEING,737-79P,1464739200,
a72f91,N562NN,BOMBARDIER INC,CL-600-2D24,1464739200,
acc6d1,N922NN,BOEING,737-823,1464739200,
ac3558,N886NN,BOEING,737-823,1464739200,
a38211,N325NB,AIRBUS INDUSTRIE,A319-114,1464739200,
a3cf4f,N34455,,B739,1464739201,B739
a1239d,N17245,,B738,1464739201,B737-824
a3dc34,N348NB,,A319,1464739201,A319-114
a88836,N649RW,EMBRAER,ERJ 170-100 SE,1464739200,
a36fa4,N320PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a0339f,N11199,EMBRAER,EMB-145XR,1464739200,
abc292,N857NN,BOEING,737-823,1464739200,
aa9ed6,N7836A,BOEING,737-7L9,1466168187,
a82c8c,N626AE,EMBRAER,EMB-145LR,1464739200,
a87b8a,N646AE,,E145,1464739201,ERJ-145LR
a37986,N323AS,,B739,1464739201,B737-990
a3e011,N349PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a935e0,N693AE,,E145,1464739201,ERJ-145LR
abd60b,N8618N,BOEING,737-8H4,1466168187,
a4efe4,N417UA,AIRBUS INDUSTRIE,A320-232,1464739200,
ac5f13,N8968E,BOMBARDIER INC,CL-600-2B19,1464739200,
ad5c33,N960AN,BOEING,737-823,1464739200,
a86671,N640NK,AIRBUS,A320-232,1464739200,
ad1da9,N944SW,BOMBARDIER INC,CL-600-2B19,1464739200,
ab4ea8,N828AW,AIRBUS INDUSTRIE,A319-132,1464739200,
a7045b,N551NN,BOMBARDIER INC,CL-600-2D24,1464739200,
aa2ba1,N75425,,B739,1464739201,B737-924ER
a9b088,N723UW,,A319,1464739201,A319-112
a05a68,N12142,EMBRAER,EMB-145XR,1464739200,
a4d435,N410AW,BOMBARDIER INC,CL-600-2B19,1464739200,
abf949,N8704Q,BOEING 737-8 MAX,B738,1466992601,SOUTHWEST AIRLINES
